name,creditScore,income,loanAmount,monthDuration,p1,p2,approval,rate,yearlyReimbursement
John Doe,584,210170,1479253,18,776,9836,0,0,0
John Doe,755,190628,1274636,29,51,3823,0,0,0
John Doe,465,218680,1393178,20,582,6463,0,0,0
John Doe,364,94169,1095888,6,380,3975,0,0,0
John Doe,585,127128,506769,26,635,2327,0,0.085,48646.89765
John Doe,540,156277,652668,22,241,3749,0,0.08,63228.19303
John Doe,556,217710,1857127,3,921,2414,0,0,0
John Doe,834,88568,1135734,2,586,2566,0,0,0
John Doe,629,274762,1548884,12,943,7591,0,0,0
John Doe,548,44054,195166,30,358,1730,0,0.085,18133.09976
John Doe,342,82821,1265642,22,773,7181,0,0,0
John Doe,780,52488,19277,28,997,5633,1,0.085,1808.531384
John Doe,469,145870,761658,30,110,2318,0,0.085,70406.7588
John Doe,568,121774,249029,2,764,2442,0,0.055,220863.5838
John Doe,502,35030,1428044,17,661,8128,0,0,0
John Doe,620,56193,1450104,21,678,2142,0,0,0
John Doe,647,179994,1967781,20,887,5197,0,0,0
John Doe,673,295204,1806455,4,574,9969,0,0,0
John Doe,639,208935,1374503,18,134,2071,0,0,0
John Doe,369,161251,463986,29,433,4370,1,0.085,43283.75126
John Doe,847,221057,1738435,15,839,4195,0,0,0
John Doe,416,205573,1535068,18,881,7605,0,0,0
John Doe,484,249189,1565231,2,910,8341,0,0,0
John Doe,456,274534,136830,8,436,6055,1,0.059,23680.76514
John Doe,794,10939,174391,25,753,3632,0,0.08,16273.9426
John Doe,317,10471,410154,14,907,5347,0,0.067,46967.02963
John Doe,845,275359,1947070,2,61,6923,0,0,0
John Doe,637,258056,1652536,5,537,7976,0,0,0
John Doe,391,127640,540561,16,797,6029,0,0.067,56152.0978
John Doe,756,35391,1365447,18,526,8991,0,0,0
John Doe,788,32002,1219715,4,110,8177,0,0,0
John Doe,542,146685,1003614,27,577,9876,0,0,0
John Doe,320,278150,933648,16,270,3572,0,0.067,95823.32584
John Doe,331,266647,826167,17,419,8837,0,0.067,82872.09021
John Doe,663,200037,1167951,8,738,3073,0,0,0
John Doe,594,104595,1763493,27,387,4304,0,0,0
John Doe,807,248249,625396,16,185,6835,1,0.067,65779.93722
John Doe,763,205547,372798,9,59,6299,1,0.063,58511.55458
John Doe,476,45407,847940,15,915,5163,0,0.067,93173.10323
John Doe,497,45712,472923,12,292,9149,0,0.063,57907.36362
John Doe,484,94152,624366,21,971,4483,0,0.08,61469.67863
John Doe,454,118410,106330,2,225,7297,0,0.055,66912.73241
John Doe,320,221550,784715,7,833,7858,0,0.059,150427.923
John Doe,306,253531,1223916,1,874,3999,0,0,0
John Doe,592,34275,337013,6,60,464,0,0.059,74803.69381
John Doe,612,197430,545482,14,319,1483,0,0.067,61738.34106
John Doe,730,123350,1144688,19,91,5263,0,0,0
John Doe,371,261301,1003165,29,54,9527,0,0,0
John Doe,576,163350,1984280,7,641,5200,0,0,0
John Doe,323,193348,1083668,30,550,1392,0,0,0
John Doe,654,112020,91123,13,613,5515,1,0.067,10876.15364
John Doe,390,194936,1272925,1,304,1908,0,0,0
John Doe,557,65717,1642759,29,590,6122,0,0,0
John Doe,367,92535,168257,24,974,9612,1,0.08,15883.19572
John Doe,843,92765,1212160,5,322,2550,0,0,0
John Doe,578,37899,120816,11,740,9151,0,0.063,15499.09954
John Doe,592,149816,429917,4,493,8254,0,0.055,132461.4988
John Doe,644,188338,1436907,6,684,4353,0,0,0
John Doe,723,230103,30109,5,316,1554,1,0.059,8315.502914
John Doe,321,249906,1101068,2,493,6087,0,0,0
John Doe,343,161772,1440728,8,559,1833,0,0,0
John Doe,775,39394,1055560,8,735,6384,0,0,0
John Doe,361,29374,1157403,29,213,7725,0,0,0
John Doe,698,59440,1618204,6,818,5573,0,0,0
John Doe,595,162402,1568474,10,455,4234,0,0,0
John Doe,478,16123,449928,12,203,2751,0,0.063,53529.50873
John Doe,746,297257,1658694,27,986,2829,0,0,0
John Doe,751,253913,1370194,9,698,3243,0,0,0
John Doe,500,169085,305350,26,487,9429,1,0.085,29311.83675
John Doe,613,210748,1507061,10,447,8680,0,0,0
John Doe,683,218984,610266,4,163,8206,0,0.055,192080.1762
John Doe,471,110715,1971633,26,479,4248,0,0,0
John Doe,672,271633,18912,17,402,3050,1,0.067,1866.558047
John Doe,506,25897,145867,12,158,1353,0,0.063,18131.65868
John Doe,715,255510,1717035,5,771,3533,0,0,0
John Doe,343,147468,418491,3,536,7023,0,0.055,155626.5535
John Doe,642,229649,38281,18,103,1704,1,0.08,4053.445188
John Doe,787,162262,915216,18,492,7653,0,0.08,98201.54238
John Doe,640,270014,1154080,2,717,2615,0,0,0
John Doe,433,220478,1534520,15,902,9599,0,0,0
John Doe,584,147837,159435,17,431,9463,1,0.067,16220.43372
John Doe,775,296739,1975522,6,761,9350,0,0,0
John Doe,551,139910,543776,20,739,7194,0,0.08,54673.14465
John Doe,841,166688,1955403,15,680,9541,0,0,0
John Doe,831,105278,1891771,28,341,8361,0,0,0
John Doe,750,179133,454465,4,609,294,0,0.055,153024.6665
John Doe,531,197928,1161237,24,232,4536,0,0,0
John Doe,315,166367,560255,12,121,4122,0,0.063,68264.38476
John Doe,578,84960,1918551,12,390,3035,0,0,0
John Doe,328,277726,739778,26,48,9531,0,0.085,71079.53817
John Doe,666,173871,79916,14,656,2409,1,0.067,8976.477237
John Doe,701,201336,1551101,12,289,6964,0,0,0
John Doe,819,210625,1831708,27,573,4453,0,0,0
John Doe,459,71909,781797,14,64,6417,0,0.067,89524.13694
John Doe,613,77293,25877,2,200,8401,1,0.055,17102.71437
John Doe,619,96705,609458,7,790,3263,0,0.059,107526.3285
John Doe,501,249522,1226893,27,884,2119,0,0,0
John Doe,709,123539,1925726,23,231,2009,0,0,0
John Doe,838,270622,203348,22,663,2661,1,0.08,19870.13161
John Doe,634,62911,1725194,10,58,7150,0,0,0
John Doe,720,181691,1707525,6,413,3512,0,0,0
John Doe,330,257844,178348,7,118,1337,1,0.059,31162.37987
John Doe,555,32165,1285845,9,878,1372,0,0,0
John Doe,818,299276,396314,9,811,2115,1,0.063,60337.37671
John Doe,622,169166,1247005,29,914,1345,0,0,0
John Doe,645,49403,1136165,13,347,3258,0,0,0
John Doe,380,298947,136283,5,228,3291,1,0.059,31540.79831
John Doe,561,80370,1939371,16,149,8834,0,0,0
John Doe,775,181779,1696150,16,209,5220,0,0,0
John Doe,566,139132,1061728,30,219,3822,0,0,0
John Doe,423,10492,626120,6,685,5533,0,0.059,131896.6731
John Doe,415,22136,1628697,12,299,1193,0,0,0
John Doe,484,250256,998262,15,753,1937,0,0.067,106016.069
John Doe,682,104186,792176,21,753,6272,0,0.08,78729.3457
John Doe,537,146438,167741,8,90,4948,1,0.059,26793.59026
John Doe,595,16057,298667,2,537,542,0,0.055,171633.3556
John Doe,764,21845,1887197,1,476,5844,0,0,0
John Doe,303,264322,1298765,7,724,3321,0,0,0
John Doe,622,63261,1255911,22,409,3295,0,0,0
John Doe,439,126558,896744,12,52,3630,0,0.063,107696.0971
John Doe,548,288970,494120,24,874,1502,1,0.08,46756.72742
John Doe,412,135483,1788453,14,162,1170,0,0,0
John Doe,818,188448,1433285,21,832,2682,0,0,0
John Doe,695,69425,266025,26,376,5778,1,0.085,25680.55635
John Doe,839,247202,1376576,13,125,831,0,0,0
John Doe,420,134280,1248345,5,229,6727,0,0,0
John Doe,558,124063,1651582,18,11,8855,0,0,0
John Doe,346,27169,164584,18,281,7394,0,0.08,17580.46454
John Doe,499,215351,8881,11,795,6924,1,0.063,1192.167244
John Doe,731,95511,281085,14,969,3076,1,0.067,31572.565
John Doe,365,145960,1994196,27,444,4004,0,0,0
John Doe,317,11114,194859,24,629,661,0,0.08,18483.98713
John Doe,754,117526,1735710,22,579,4077,0,0,0
John Doe,836,88982,1964053,18,935,7216,0,0,0
John Doe,301,159807,1157626,13,252,2730,0,0,0
John Doe,804,149371,919904,23,625,7575,0,0.08,88270.80621
John Doe,333,284762,1591172,22,650,2524,0,0,0
John Doe,635,11654,287467,15,987,6914,0,0.067,30936.82708
John Doe,749,90562,1958281,15,638,4204,0,0,0
John Doe,677,64978,1984296,28,308,5445,0,0,0
John Doe,658,82124,223559,13,743,6599,1,0.067,27039.19807
John Doe,820,186503,486282,24,60,2076,1,0.08,46242.76426
John Doe,347,138269,1437840,17,328,5004,0,0,0
John Doe,473,209114,1536036,10,270,500,0,0,0
John Doe,580,106197,1441302,8,27,9775,0,0,0
John Doe,738,220470,1278032,17,785,3853,0,0,0
John Doe,676,229744,884478,29,70,4852,1,0.085,82286.75994
John Doe,802,30634,1661781,25,343,5608,0,0,0
John Doe,700,227408,608623,17,300,1856,1,0.067,61392.21319
John Doe,541,160512,653511,10,991,1814,0,0.063,91010.52568
John Doe,735,233181,268927,3,455,8199,0,0.055,111909.3199
John Doe,843,195112,1901259,27,839,7207,0,0,0
John Doe,351,171911,269704,26,950,135,1,0.085,25890.02659
John Doe,530,139002,439496,17,759,5679,1,0.067,43844.08198
John Doe,694,80709,1213482,1,340,8766,0,0,0
John Doe,675,114105,1197748,14,581,2176,0,0,0
John Doe,662,48534,1968118,26,54,7121,0,0,0
John Doe,583,117601,362432,13,688,2440,1,0.067,42004.05051
John Doe,387,262571,668679,29,262,179,0,0.085,62251.73767
John Doe,333,208568,1870001,9,880,3246,0,0,0
John Doe,843,27809,1253649,3,976,6668,0,0,0
John Doe,730,222215,1789298,10,844,2646,0,0,0
John Doe,434,115916,1966546,3,245,8236,0,0,0
John Doe,750,109145,1357023,25,575,7155,0,0,0
John Doe,476,172161,331515,17,223,5576,1,0.067,32982.36532
John Doe,671,210784,706626,4,362,8619,0,0.055,237930.7713
John Doe,407,131047,850945,5,583,3018,0,0.059,212346.8818
John Doe,825,190487,590622,5,422,7682,0,0.059,138684.0631
John Doe,615,199058,1709404,16,147,909,0,0,0
John Doe,796,130383,820919,13,869,1140,0,0.067,97559.00714
John Doe,695,38534,1454662,13,823,4530,0,0,0
John Doe,415,246820,1891664,28,195,9539,0,0,0
John Doe,351,132276,535622,15,807,8712,0,0.067,56883.40225
John Doe,648,488,923457,28,356,7950,0,0.085,87162.26319
John Doe,378,121736,999572,26,163,7476,0,0.085,95693.80272
John Doe,390,41666,264483,19,739,1600,0,0.08,27655.46032
John Doe,441,60366,1097039,2,934,5329,0,0,0
John Doe,452,5268,1859781,1,408,7614,0,0,0
John Doe,313,221041,240304,20,455,2521,1,0.08,24549.50101
John Doe,336,205918,1879919,9,264,4301,0,0,0
John Doe,530,176044,158412,23,972,8804,1,0.08,15200.66763
John Doe,831,89367,1578883,22,866,1429,0,0,0
John Doe,470,258581,1353503,28,85,9231,0,0,0
John Doe,605,115425,390961,26,193,5482,1,0.085,37634.17245
John Doe,478,115391,475061,6,424,8832,0,0.059,108396.2408
John Doe,526,128903,1809396,15,748,8925,0,0,0
John Doe,432,15139,93925,5,530,5605,0,0.059,23816.44283
John Doe,557,51776,1515988,1,527,6000,0,0,0
John Doe,813,151636,1898757,22,575,8490,0,0,0
John Doe,661,292265,919873,11,900,5525,0,0.063,121343.2989
John Doe,329,134687,595215,12,850,1065,0,0.063,71146.67225
John Doe,314,38173,1053131,11,402,4731,0,0,0
John Doe,690,124724,1022063,5,467,5858,0,0,0
John Doe,690,13812,467466,24,692,8595,0,0.08,44453.46535
John Doe,311,216215,1187393,15,883,1677,0,0,0
John Doe,652,46094,1155277,13,729,8490,0,0,0
John Doe,647,4983,1269290,28,267,7771,0,0,0
John Doe,756,77657,1824115,30,532,3427,0,0,0
John Doe,671,77442,34693,22,478,2695,1,0.08,3370.448326
John Doe,620,187864,298768,1,805,1756,0,0.055,1206043.525
John Doe,720,196905,1742579,2,597,6411,0,0,0
John Doe,666,148510,91617,16,309,8437,1,0.067,9430.954823
John Doe,319,240536,266544,7,703,3496,1,0.059,47026.20639
John Doe,681,245321,1919837,26,440,4544,0,0,0
John Doe,770,187413,969552,2,358,3955,0,0.055,582387.7491
John Doe,390,191899,1276691,27,599,3019,0,0,0
John Doe,482,96088,1581124,30,960,1447,0,0,0
John Doe,423,35451,1171387,1,425,9797,0,0,0
John Doe,546,31922,974329,2,972,3752,0,0.055,678201.6728
John Doe,561,97083,1394452,21,477,6987,0,0,0
John Doe,397,148389,1045062,25,400,705,0,0,0
John Doe,728,280177,668667,20,266,1131,1,0.08,67818.42712
John Doe,340,51128,1806631,28,920,4077,0,0,0
John Doe,751,252609,803434,27,563,5956,1,0.085,76260.21917
John Doe,438,32470,1994498,7,969,5687,0,0,0
John Doe,399,229389,445987,8,92,6784,0,0.059,75755.9984
John Doe,585,281647,814047,1,720,1849,0,0.055,1110421.312
John Doe,571,226699,1647616,4,724,2567,0,0,0
John Doe,533,21353,561851,23,59,5829,0,0.08,53771.69441
John Doe,783,83916,637572,20,409,4116,0,0.08,65134.47324
John Doe,693,184467,530472,26,914,747,1,0.085,51016.06019
John Doe,762,72515,790620,8,934,3266,0,0.059,126287.2424
John Doe,748,210655,409300,19,574,8796,1,0.08,42128.48098
John Doe,499,78278,1624199,8,122,5972,0,0,0
John Doe,643,166665,79070,22,749,8201,1,0.08,7692.698358
John Doe,403,11876,1074553,25,267,7671,0,0,0
John Doe,624,76938,1744095,28,143,9943,0,0,0
John Doe,681,11875,1553273,10,988,5041,0,0,0
John Doe,593,13905,1451048,20,433,8235,0,0,0
John Doe,501,250088,120713,14,882,89,1,0.067,13610.36184
John Doe,468,156119,622490,13,625,409,0,0.067,72143.46802
John Doe,369,161730,1243514,11,608,75,0,0,0
John Doe,512,263945,1921885,6,523,4517,0,0,0
John Doe,560,39317,211650,25,170,2731,0,0.08,19602.58834
John Doe,487,178756,918200,27,7,6173,0,0.085,87371.73271
John Doe,492,69915,1526433,8,390,7300,0,0,0
John Doe,449,74761,1204575,17,681,6060,0,0,0
John Doe,383,38298,1053834,18,951,3545,0,0,0
John Doe,517,230216,137949,16,391,3976,1,0.067,14200.32076
John Doe,661,74523,55297,9,638,1368,1,0.063,8065.387123
John Doe,784,254803,714815,21,542,2175,1,0.08,71507.59381
John Doe,634,212164,1417453,7,337,1462,0,0,0
John Doe,425,175458,1510796,14,672,124,0,0,0
John Doe,783,144313,1528313,6,50,6648,0,0,0
John Doe,630,127539,535969,12,433,285,0,0.063,64988.22937
John Doe,392,177817,1784637,17,961,1703,0,0,0
John Doe,671,626,459584,2,646,6675,0,0.055,289213.0275
John Doe,632,284127,1126248,17,690,4931,0,0,0
John Doe,360,97623,1322037,14,432,5111,0,0,0
John Doe,311,227483,209637,14,422,743,1,0.067,23286.30918
John Doe,633,176619,1681987,30,737,280,0,0,0
John Doe,686,200697,1755733,14,402,8108,0,0,0
John Doe,627,271882,1464722,1,702,6319,0,0,0
John Doe,484,155996,1604303,10,734,7497,0,0,0
John Doe,730,143488,1625274,28,466,3786,0,0,0
John Doe,722,56689,1418028,2,216,1909,0,0,0
John Doe,493,264776,376116,1,54,7648,0,0.055,1518275.941
John Doe,713,75817,609428,3,804,7470,0,0.055,299009.8466
John Doe,666,248792,133047,8,245,9374,1,0.059,22599.55631
John Doe,605,94593,1689015,2,368,1314,0,0,0
John Doe,431,285073,701386,28,614,5083,0,0.085,65998.76254
John Doe,652,127947,97310,19,162,4970,1,0.08,10093.85497
John Doe,814,47915,473855,15,499,6143,0,0.067,51168.86388
John Doe,829,281540,1899710,2,383,2999,0,0,0
John Doe,576,58196,1676241,29,948,5095,0,0,0
John Doe,512,186622,1173155,16,812,1161,0,0,0
John Doe,847,289917,830732,13,380,996,1,0.067,100028.8518
John Doe,634,211164,147622,28,202,2460,1,0.085,13955.49661
John Doe,679,287047,681861,8,335,6744,0,0.059,107129.5765
John Doe,399,111048,302687,11,657,6379,1,0.063,39259.05486
John Doe,816,168604,637319,7,149,7876,0,0.059,111357.4404
John Doe,501,299312,1747760,19,582,9797,0,0,0
John Doe,727,293064,325351,29,30,1956,1,0.085,30330.14353
John Doe,662,18438,890626,26,65,7657,0,0.085,85573.35411
John Doe,491,15303,1890418,28,736,6183,0,0,0
John Doe,690,26724,148154,2,839,4472,0,0.055,81620.38512
John Doe,483,208865,86663,28,493,2244,1,0.085,8130.557419
John Doe,799,239226,269432,6,119,3110,1,0.059,54058.27293
John Doe,827,247234,750421,2,891,7659,0,0.055,495970.7857
John Doe,831,113736,688227,22,927,4348,0,0.08,67250.03968
John Doe,519,214055,723349,17,427,9185,0,0.067,72358.77099
John Doe,349,267596,630009,1,476,1541,0,0.055,1911733.075
John Doe,614,263369,360226,11,766,3944,1,0.063,47792.99193
John Doe,841,159597,1869404,21,835,2548,0,0,0
John Doe,754,116595,212366,12,869,4774,1,0.063,25504.47995
John Doe,357,238305,1935785,6,60,1814,0,0,0
John Doe,655,198363,1869883,10,968,3774,0,0,0
John Doe,814,242213,35838,17,855,8412,1,0.067,3615.003272
John Doe,387,183604,33571,10,42,2346,1,0.063,4830.34243
John Doe,498,144307,308914,9,542,6393,1,0.063,46685.64491
John Doe,774,4372,1148348,30,125,5412,0,0,0
John Doe,444,52905,1529159,11,914,7736,0,0,0
John Doe,673,217571,62409,8,129,3415,1,0.059,10317.71312
John Doe,769,258786,762034,14,498,4434,1,0.067,84646.1232
John Doe,506,30524,1595380,3,831,9001,0,0,0
John Doe,313,235217,1484672,11,843,2730,0,0,0
John Doe,811,156633,1239718,4,379,7351,0,0,0
John Doe,452,139957,471355,19,529,881,1,0.08,48893.11488
John Doe,730,10296,835740,10,601,9906,0,0.063,117132.8747
John Doe,311,6866,477426,24,938,4098,0,0.08,45343.94754
John Doe,339,50960,1524441,1,902,8784,0,0,0
John Doe,326,177368,46557,12,504,8996,1,0.063,5645.208948
John Doe,697,48221,884494,2,423,3242,0,0.055,650417.1149
John Doe,473,269621,1205116,16,240,6462,0,0,0
John Doe,598,231205,410426,9,526,7886,1,0.063,62485.87779
John Doe,580,84431,1450285,21,131,2345,0,0,0
John Doe,707,219132,1616383,13,136,8211,0,0,0
John Doe,763,153169,1310780,7,542,9118,0,0,0
John Doe,816,39612,501414,11,744,6867,0,0.063,64676.68167
John Doe,691,253532,354773,19,696,2924,1,0.08,36378.48203
John Doe,528,255531,53824,2,536,3091,1,0.055,39579.74932
John Doe,808,96022,1301775,6,577,9831,0,0,0
John Doe,650,39554,1288663,27,144,4229,0,0,0
John Doe,573,67303,1795392,27,461,6827,0,0,0
John Doe,758,101729,1107295,24,433,3877,0,0,0
John Doe,615,139012,312520,29,782,2044,1,0.085,29055.75161
John Doe,597,255132,363587,24,66,1133,1,0.08,34446.8636
John Doe,657,102539,990701,1,495,147,0,0.055,2013308.112
John Doe,509,57015,958446,4,72,9502,0,0.055,289233.478
John Doe,568,195144,1187039,21,147,5109,0,0,0
John Doe,488,118936,823146,10,27,3781,0,0.063,111828.6586
John Doe,396,171709,145832,27,186,7213,1,0.085,13830.70782
John Doe,452,14439,270478,9,611,4544,0,0.063,41802.72225
John Doe,667,63386,23311,21,730,6188,1,0.08,2294.999533
John Doe,326,23129,588647,22,251,1360,0,0.08,57777.17793
John Doe,696,221144,940800,6,67,1451,0,0.059,211695.6144
John Doe,659,26641,841900,21,706,8629,0,0.08,84361.59225
John Doe,595,173384,1924985,18,889,2750,0,0,0
John Doe,809,76770,1758964,15,79,3178,0,0,0
John Doe,527,144743,1227610,1,34,4989,0,0,0
John Doe,752,95743,188996,11,81,5400,1,0.063,25370.4358
John Doe,530,283171,247015,24,370,5055,1,0.08,23262.55613
John Doe,763,270602,1957129,10,224,2989,0,0,0
John Doe,433,177375,1219797,12,567,5610,0,0,0
John Doe,425,90419,1848898,4,606,7704,0,0,0
John Doe,348,2608,1100297,23,728,595,0,0,0
John Doe,727,139506,904584,11,557,3208,0,0.063,120015.7007
John Doe,487,203197,1155273,22,562,6757,0,0,0
John Doe,774,240074,939362,12,645,9648,0,0.063,117973.7268
John Doe,329,181628,296384,21,441,981,1,0.08,29698.80764
John Doe,620,92412,170314,11,990,8990,1,0.063,21731.42636
John Doe,476,250690,1048174,2,609,945,0,0,0
John Doe,384,243456,692942,2,868,3317,0,0.055,660348.1882
John Doe,315,184241,266908,13,714,7041,0,0.067,31996.9011
John Doe,484,149682,192447,10,25,7701,1,0.063,27690.11676
John Doe,815,48474,1717608,16,306,1828,0,0,0
John Doe,383,257030,302428,2,750,7606,0,0.055,250908.2699
John Doe,786,266872,1783310,26,195,4860,0,0,0
John Doe,429,88789,257810,12,704,6015,1,0.063,32211.02516
John Doe,371,183852,791009,22,608,7326,0,0.08,76523.27752
John Doe,532,97134,1471033,22,237,6123,0,0,0
John Doe,393,292752,1531033,8,316,4722,0,0,0
John Doe,775,50626,150323,24,700,4898,1,0.08,14156.61893
John Doe,605,139498,1827052,29,720,2183,0,0,0
John Doe,485,299184,554965,2,967,1023,0,0.055,432624.4938
John Doe,311,42890,1758320,8,46,413,0,0,0
John Doe,622,200830,641984,13,723,6126,0,0.067,77647.20961
John Doe,520,182843,1087857,21,350,1110,0,0,0
John Doe,571,227106,1117665,18,638,402,0,0,0
John Doe,317,228611,323295,7,156,9054,1,0.059,58772.66025
John Doe,381,273242,1900621,9,726,7685,0,0,0
John Doe,455,47465,812467,18,70,3171,0,0.08,86593.52106
John Doe,688,216702,84115,11,436,4302,1,0.063,10675.5911
John Doe,474,70691,504003,2,256,6302,0,0.055,266692.1159
John Doe,847,245952,226445,15,5,4474,1,0.067,23970.7343
John Doe,673,76143,103357,11,212,1312,1,0.063,13480.52232
John Doe,551,267821,1490286,8,749,6357,0,0,0
John Doe,683,185780,1914622,27,113,4834,0,0,0
John Doe,587,214355,304845,10,438,6069,1,0.063,42725.45432
John Doe,447,191242,734998,19,55,1603,0,0.08,75651.96497
John Doe,780,171952,1066910,7,644,4362,0,0,0
John Doe,592,212170,787048,29,893,694,1,0.085,73523.06329
John Doe,489,30228,375767,20,650,7062,0,0.08,37845.72133
John Doe,353,119714,1328256,4,238,2849,0,0,0
John Doe,410,174288,578420,11,341,9819,0,0.063,73024.1851
John Doe,489,213832,1730604,12,494,2897,0,0,0
John Doe,759,271043,1370376,2,499,5448,0,0,0
John Doe,550,127254,1406688,12,374,5898,0,0,0
John Doe,466,122332,957040,7,11,7247,0,0.059,168850.0231
John Doe,817,224254,1873596,17,166,5447,0,0,0
John Doe,567,189589,153631,20,436,1349,1,0.08,15526.87605
John Doe,690,109001,860538,15,526,3322,0,0.067,91992.396
John Doe,355,46756,1828630,13,596,426,0,0,0
John Doe,454,29775,19006,27,478,2270,1,0.085,1798.167602
John Doe,425,70431,1536767,7,24,2327,0,0,0
John Doe,485,142691,291538,9,561,1109,1,0.063,44385.60871
John Doe,778,54502,21061,10,122,4091,1,0.063,2844.069294
John Doe,751,245913,112579,27,624,3680,1,0.085,10730.73212
John Doe,643,186819,1686573,7,263,6983,0,0,0
John Doe,660,134290,1596337,17,740,2253,0,0,0
John Doe,336,289048,1077513,26,425,9746,0,0,0
John Doe,619,109646,1925111,1,565,6571,0,0,0
John Doe,756,9389,958751,23,440,3828,0,0.08,92622.50179
John Doe,664,75850,1968699,23,931,4110,0,0,0
John Doe,795,228229,1666228,21,618,2726,0,0,0
John Doe,610,295617,391745,9,661,2578,1,0.063,61485.3324
John Doe,540,166317,1020536,15,166,9472,0,0,0
John Doe,675,90751,260329,24,470,5532,1,0.08,24694.35789
John Doe,839,46225,1084921,13,10,1163,0,0,0
John Doe,657,64974,529594,20,222,6841,0,0.08,53523.96582
John Doe,727,93585,1403130,11,370,8087,0,0,0
John Doe,423,162448,337488,8,300,3608,1,0.059,53907.60272
John Doe,496,163047,802142,17,751,4311,0,0.067,80021.61478
John Doe,496,71811,1271047,26,702,2059,0,0,0
John Doe,780,243560,337409,10,554,5671,1,0.063,46693.7073
John Doe,748,229481,1705296,13,910,4465,0,0,0
John Doe,777,42292,159581,5,34,8798,0,0.059,37471.24469
John Doe,482,284161,903600,18,800,6813,0,0.08,96955.15997
John Doe,372,40356,1876754,27,186,4271,0,0,0
John Doe,383,81744,1243913,7,55,9039,0,0,0
John Doe,355,275943,1978396,21,810,4991,0,0,0
John Doe,658,123992,1098090,5,833,9530,0,0,0
John Doe,812,181239,1898731,18,896,5710,0,0,0
John Doe,400,10897,1410532,13,201,4542,0,0,0
John Doe,470,113657,1869316,29,859,9290,0,0,0
John Doe,499,293899,1735727,7,995,1297,0,0,0
John Doe,638,184841,1602757,1,46,9594,0,0,0
John Doe,489,251272,1708393,27,41,5482,0,0,0
John Doe,544,253257,1540411,1,479,775,0,0,0
John Doe,796,136961,910317,15,604,1475,0,0.067,96363.20935
John Doe,775,79006,583762,26,48,3935,0,0.085,56089.16913
John Doe,453,96780,1608797,25,860,8423,0,0,0
John Doe,835,109032,1328041,3,132,1017,0,0,0
John Doe,468,270657,1585598,19,237,8591,0,0,0
John Doe,433,103833,462255,1,132,7353,0,0.055,568785.1253
John Doe,829,194039,434359,5,714,7089,0,0.059,115800.3826
John Doe,515,15012,545654,15,82,9186,0,0.067,59745.08624
John Doe,443,45833,428634,10,106,6494,0,0.063,58949.83395
John Doe,627,78794,389099,11,660,8443,0,0.063,50189.3289
John Doe,419,92331,971496,29,276,4790,0,0.085,90565.61411
John Doe,438,1488,51741,25,78,2880,0,0.08,4792.145161
John Doe,441,207351,1318700,28,371,5072,0,0,0
John Doe,438,46801,1518677,8,532,811,0,0,0
John Doe,361,277005,777435,26,872,1161,0,0.085,74296.04038
John Doe,447,204874,1682403,9,409,8736,0,0,0
John Doe,413,174383,1947143,11,845,4318,0,0,0
John Doe,470,162656,757029,12,381,2385,0,0.063,91792.57436
John Doe,688,24529,281770,5,203,6790,0,0.059,67146.21588
John Doe,498,233368,1875591,1,266,5623,0,0,0
John Doe,829,15258,777189,1,139,5950,0,0.055,800536.8572
John Doe,816,138544,741935,19,946,3388,0,0.08,76659.89845
John Doe,371,294672,1854868,9,553,6874,0,0,0
John Doe,673,113937,1933283,3,318,1735,0,0,0
John Doe,487,264293,1423691,20,91,1263,0,0,0
John Doe,574,295089,1099802,29,11,4948,0,0,0
John Doe,745,118157,1025196,20,44,3000,0,0,0
John Doe,544,89755,924433,21,225,7819,0,0.08,92631.71375
John Doe,375,16257,241348,8,593,8791,0,0.059,40622.27033
John Doe,446,192912,1549602,27,733,9371,0,0,0
John Doe,381,146613,1974908,17,512,9154,0,0,0
John Doe,829,21553,1225727,21,572,2857,0,0,0
John Doe,730,37904,575902,23,975,4745,0,0.08,55116.43897
John Doe,807,36776,387016,27,170,775,0,0.085,36645.13444
John Doe,722,105795,327771,17,947,3794,1,0.067,33250.71022
John Doe,573,71202,1128779,2,757,9014,0,0,0
John Doe,369,155468,1736376,11,885,8387,0,0,0
John Doe,506,52065,282299,12,256,7619,0,0.063,34566.28424
John Doe,732,132766,1065825,16,656,9901,0,0,0
John Doe,621,11392,1811567,14,714,7768,0,0,0
John Doe,794,112025,287398,9,538,9517,0,0.063,42810.08927
John Doe,443,131722,1163304,18,485,4511,0,0,0
John Doe,509,283122,170876,19,172,4500,1,0.08,17587.94604
John Doe,382,211431,1278535,25,39,441,0,0,0
John Doe,408,239383,1739202,18,393,1962,0,0,0
John Doe,506,140718,1230472,12,91,9675,0,0,0
John Doe,398,265329,1284243,9,323,7326,0,0,0
John Doe,385,295945,1617938,6,113,1835,0,0,0
John Doe,481,55392,128882,28,142,7250,1,0.085,12136.69242
John Doe,542,244715,1863496,22,390,5538,0,0,0
John Doe,715,295858,1312905,4,55,2522,0,0,0
John Doe,658,160690,106634,29,967,6462,1,0.085,9954.414668
John Doe,354,279553,1340016,24,938,3377,0,0,0
John Doe,306,199813,329750,1,416,3860,0,0.055,1000611.073
John Doe,687,171072,1482484,28,74,2347,0,0,0
John Doe,301,57674,1311686,21,594,3787,0,0,0
John Doe,588,57352,1298782,21,984,231,0,0,0
